Table 1
group_Nr;M;A;FU;H;I;SU;N;S;C;L;D;P;MF;CP;Nr_of_Factor;ID;Tube.ID;Tea_bag_Nr;Decom;pH;WSA;;;;;;;
182;0;1;0;1;1;0;1;1;0;1;1;0;1;1;9;182;165;15;0,5860927152;5,75;0,48;;;;;;;
183;1;1;0;1;0;1;1;1;1;0;1;0;1;0;9;183;218;155;0,6406198483;5,8;0,74;;;;;;;
184;0;0;1;1;0;1;1;1;1;0;1;1;0;1;9;184;217;9;0,6395193591;5,71;0,70;;;;;;;
185;1;1;0;1;0;1;0;1;1;1;1;0;0;1;9;185;67;245;0,6184738956;5,62;0,53;;;;;;;
186;1;1;1;0;0;1;1;0;1;0;0;1;1;1;9;186;121;90;0,6800791557;5,88;0,76;;;;;;;
187;1;1;1;1;1;1;0;0;1;0;0;1;1;0;9;187;114;336;0,686054197;5,09;0,65;;;;;;;
188;1;0;1;1;0;1;1;1;0;1;0;1;0;1;9;188;279;253;0,7120857047;5,23;0,55;;;;;;;
189;0;0;0;1;1;1;0;1;1;0;1;1;1;1;9;189;238;79;0,6246295687;5,82;0,71;;;;;;;
190;1;1;0;1;1;1;0;1;1;0;1;0;0;1;9;190;77;273;0,6180904523;5,67;0,53;;;;;;;
191;1;1;0;0;1;1;0;1;0;1;1;1;1;0;9;191;138;355;0,6271857473;5,72;0,67;;;;;;;
192;1;0;1;0;1;1;0;0;1;1;0;1;1;1;9;192;297;65;0,6657754011;5,98;0,52;;;;;;;
193;1;1;1;0;1;1;1;0;0;1;1;1;0;0;9;193;78;331;0,6834388537;5,51;0,57;;;;;;;
194;1;0;1;1;0;0;1;0;1;1;0;1;1;1;9;194;248;23;0,6677631579;6,2;0,79;;;;;;;
195;0;1;0;1;0;1;1;0;1;1;1;1;0;1;9;195;63;47;0,616922052;5,23;0,57;;;;;;;
196;1;1;0;1;0;1;1;1;1;0;0;1;0;1;9;196;74;264;0,6825927163;5,57;0,41;;;;;;;
197;1;1;1;1;0;1;1;1;0;0;0;1;0;1;9;197;132;149;0,6516257465;6;0,54;;;;;;;
198;1;1;1;1;1;0;0;0;1;0;1;0;1;1;9;198;41;164;0,6613545817;5,41;0,52;;;;;;;
199;1;0;1;0;1;0;1;0;1;1;1;1;0;1;9;199;30;321;0,6158940397;5,33;0,60;;;;;;;
200;1;1;1;1;1;0;0;0;1;1;1;0;1;0;9;200;259;339;0,6618037135;6,21;0,75;;;;;;;
201;0;1;1;1;1;1;1;0;0;1;1;1;0;1;10;201;220;221;0,7403462051;5,63;0,74;;;;;;;
202;0;1;1;1;1;1;1;1;0;1;0;1;1;0;10;202;163;345;0,6884322174;5,68;0,47;;;;;;;
203;1;0;1;1;0;1;0;1;1;1;1;0;1;1;10;203;317;5;0,6381909548;5,73;0,72;;;;;;;
204;1;1;1;1;0;0;1;1;0;0;1;1;1;1;10;204;97;137;0,6356951872;5,77;0,51;;;;;;;
205;0;1;1;0;1;1;1;0;1;0;1;1;1;1;10;205;95;289;0,6694214876;5,38;0,65;;;;;;;
206;1;1;1;0;0;0;1;1;1;1;1;1;0;1;10;206;247;203;0,6017258546;5,8;0,71;;;;;;;
207;1;0;1;1;0;1;1;0;0;1;1;1;1;1;10;207;266;8;0,6775277125;5,41;0,61;;;;;;;
208;1;0;0;1;1;1;1;1;1;0;0;1;1;1;10;208;237;179;0,6339050132;NA;0,51;;;;;;;
209;1;1;0;1;0;1;1;1;1;0;1;1;1;0;10;209;300;238;0,5978730475;5,76;0,48;;;;;;;
210;0;1;1;0;1;0;1;1;1;0;1;1;1;1;10;210;44;343;0,6258278146;5,65;0,44;;;;;;;
